"EMPLOYEE:ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","SALARY","COMMISSION_PCT",":LABEL"
100,"Steven","King","SKING","515.123.4567","17-Jun-87",24000,NA,"employee"
101,"Neena","Kochhar","NKOCHHAR","515.123.4568","21-Sep-89",9900,NA,"employee"
102,"Lex","De Haan","LDEHANN","515.123.4569","13-Jan-93",9900,NA,"employee"
103,"Alexander","Hunold","AHUNOLD","590.423.4567","3-Jan-90",9900,NA,"employee"
104,"Bruce","Ernst","BERNST","590.423.4568","21-May-91",6600,NA,"employee"
107,"Diana","Lorentz","DLORENTZ","590.423.5567","7-Feb-99",4620,NA,"employee"
124,"Kevin","Mourgos","KMOURGOS","650.123.5234","16-Nov-99",5800,NA,"employee"
141,"Trenna","Rajs","TRAJS","650.121.8009","17-Oct-95",3500,NA,"employee"
142,"Curtis","Davies","CDAVIES","650.121.2994","29-Jan-97",3100,NA,"employee"
143,"Randall","Matos","RMATOS","650.121.2874","15-Mar-98",2600,NA,"employee"
144,"Peter","Vargas","PVARGAS","650.121.2004","9-Jul-98",2500,NA,"employee"
149,"Eleni","Zlotkey","EZLOTKEY","011.44.1344.429018","29-Jan-00",10500,0.2,"employee"
174,"Ellen","Abel","EABEL","011.44.1644.429267","11-May-96",11000,0.3,"employee"
176,"Jonathon","Taylor","JTAYLOR","011.44.1644.429265","24-Mar-98",8600,0.2,"employee"
178,"Kimberley","Grant","KGRANT","011.44.1644.429263","24-May-99",7000,0.15,"employee"
200,"Jennefer","Whalen","JWHALEN","515.123.4444","17-Sep-87",4400,NA,"employee"
201,"Michael","Hartstein","MHARTSTE","515.123.5555","17-Feb-96",14300,NA,"employee"
202,"Pat","Fay","PFAY","603.123.6666","17-Aug-97",6600,NA,"employee"
205,"Shelley","Higgins","SHIGGINS","515.123.8080","7-Jun-94",12000,NA,"employee"
206,"William","Gietz","WGIETZ","515.123.8181","7-Jun-94",8300,NA,"employee"
